Date,Transaction Type,Debit (Rs.),Credit (Rs.),Balance (Rs.),Closing Balance (Rs.)
11-03-2024,NEFT,15000.0,4789.89,39789.89,44956.87
11-03-2024,Cheque,4070.19,20000.0,55719.7,44956.87
11-03-2024,Cash Deposit,14751.32,3988.48,44956.87,44956.87
12-03-2024,Cash Deposit,0.0,5940.58,50897.44,50052.14
12-03-2024,Cheque,14173.88,24087.34,60810.9,50052.14
12-03-2024,Debit Card,15378.81,6457.13,51889.22,50052.14
15-04-2024,NEFT,18647.09,9419.99,40825.05,34880.42
15-04-2024,IMPS,6480.78,536.15,34880.42,34880.42
18-04-2024,NEFT,11918.27,0.0,22962.14,36303.3
20-04-2024,UPI,7447.69,20788.84,36303.3,36303.3
22-04-2024,IMPS,0.0,0.0,36303.3,36303.3
10-05-2024,Cash Deposit,0.0,19236.13,55539.43,43317.88
12-05-2024,IMPS,11023.55,2916.43,47432.32,43317.88
15-05-2024,IMPS,4114.44,0.0,43317.88,43317.88
18-05-2024,IMPS,0.0,0.0,43317.88,43317.88
20-05-2024,Debit Card,0.0,0.0,43317.88,43317.88
10-06-2024,IMPS,2862.61,0.0,40455.27,40455.27
12-06-2024,NEFT,0.0,20688.29,61143.56,73193.22
15-06-2024,UPI,2422.25,0.0,58721.31,73193.22
18-06-2024,Cheque,0.0,14471.91,73193.22,73193.22
11-07-2024,Cash Deposit,0.0,0.0,73193.22,71327.09
13-07-2024,IMPS,0.0,15163.35,88356.57,71327.09
15-07-2024,Cash Deposit,17029.48,0.0,71327.09,71327.09
18-07-2024,NEFT,0.0,0.0,71327.09,71327.09
10-08-2024,Cash Deposit,0.0,0.0,71327.09,71327.09
12-08-2024,Cheque,18665.47,0.0,52661.63,62302.89
15-08-2024,UPI,0.0,2352.99,55014.62,62302.89
18-08-2024,Cash Deposit,0.0,7288.27,62302.89,62302.89
10-09-2024,Cash Deposit,7646.65,0.0,54656.24,40196.47
12-09-2024,UPI,0.0,0.0,54656.24,40196.47
15-09-2024,Cheque,14459.77,0.0,40196.47,40196.47
18-09-2024,IMPS,1057.08,23149.3,62288.69,57647.04
10-10-2024,Cash Deposit,15652.14,11010.49,57647.04,57647.04
12-10-2024,UPI,16576.02,22544.25,63615.28,77056.02
15-10-2024,NEFT,0.0,21959.49,85574.76,77056.02
18-10-2024,UPI,16010.79,0.0,69563.98,77056.02
10-11-2024,NEFT,0.0,0.0,69563.98,77056.02
12-11-2024,Cheque,0.0,0.0,69563.98,77056.02
15-11-2024,IMPS,0.0,7492.04,77056.02,77056.02
18-11-2024,UPI,0.0,0.0,77056.02,85332.71
10-12-2024,Debit Card,0.0,8276.69,85332.71,85332.71
12-12-2024,Cash Deposit,0.0,15792.2,101124.91,101124.91
15-12-2024,Cheque,0.0,0.0,101124.91,101124.91
